City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Trairi,BR,2022-02-10 18:53:06,-3.2778,-39.2689,84.27,64,100,8.9
94,Lorengau,PG,2022-02-10 18:53:07,-2.0226,147.2712,80.2,81,100,5.91
95,Pevek,RU,2022-02-10 18:53:07,69.7008,170.3133,-33.81,99,100,8.25
96,Ballina,AU,2022-02-10 18:53:08,-28.8667,153.5667,66.16,88,23,6.91
97,Quatre Cocos,MU,2022-02-10 18:53:09,-20.2078,57.7625,78.91,81,14,7.4
98,Qaanaaq,GL,2022-02-10 18:52:56,77.484,-69.3632,-21.59,58,1,7.11
99,Berlevag,NO,2022-02-10 18:53:09,70.8578,29.0864,21.15,79,0,16.11
100,Deputatskiy,RU,2022-02-10 18:52:19,69.3,139.9,-21.37,94,99,5.91
101,Rudnichnyy,RU,2022-02-10 18:53:10,59.617,52.4703,20.68,94,100,10.02
102,Leh,IN,2022-02-10 18:49:35,34.1667,77.5833,-3.75,92,100,2.24
103,Carnarvon,AU,2022-02-10 18:48:11,-24.8667,113.6333,80.67,74,75,10.36
104,Nuevo Progreso,MX,2022-02-10 18:53:11,23.1667,-97.95,72.59,72,100,1.01
105,East London,ZA,2022-02-10 18:50:55,-33.0153,27.9116,72.54,88,20,3.44
106,Clyde River,CA,2022-02-10 18:52:32,70.4692,-68.5914,-18.17,76,100,3.44
107,Port Alfred,ZA,2022-02-10 18:52:07,-33.5906,26.891,71.01,80,77,7.2
108,Uniontown,US,2022-02-10 18:53:12,39.9001,-79.7164,48.56,29,95,5.99
109,Dunedin,NZ,2022-02-10 18:53:12,-45.8742,170.5036,58.89,93,0,4.43
110,Yatou,CN,2022-02-10 18:53:13,37.15,122.3833,35.17,61,85,5.7
111,Bay Roberts,CA,2022-02-10 18:53:14,47.5999,-53.2648,43.66,75,9,3.0
112,Alofi,NU,2022-02-10 18:50:33,-19.0595,-169.9187,76.89,94,12,3.44
113,Taicheng,CN,2022-02-10 18:53:15,38.731,113.228,27.82,39,100,2.57
114,Alexandria,EG,2022-02-10 18:50:41,31.2156,29.9553,55.36,71,40,9.22
115,Pueblo,US,2022-02-10 18:52:16,38.2545,-104.6091,57.96,33,0,11.5
116,Tuktoyaktuk,CA,2022-02-10 18:50:51,69.4541,-133.0374,-14.8,76,100,6.91
117,Hasaki,JP,2022-02-10 18:53:16,35.7333,140.8333,34.2,83,100,30.87
118,Xai-Xai,MZ,2022-02-10 18:53:16,-25.0519,33.6442,74.12,78,0,9.42
