City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
522,Fougamou,GA,-1.2154,10.5838,76.77,90,99,3.89,moderate rain
523,Vieux-Habitants,GP,16.0589,-61.7659,81.97,73,24,13.6,few clouds
524,Burnie,AU,-41.0667,145.9167,60.94,79,100,11.45,overcast clouds
525,Youghal,IE,51.95,-7.8506,49.01,100,100,10.31,overcast clouds
526,Banyo,CM,6.75,11.8167,71.76,19,41,5.17,scattered clouds
527,Alihe,CN,50.5667,123.7167,-8.57,99,94,2.66,overcast clouds
528,Chodziez,PL,52.995,16.9198,33.1,66,49,8.88,scattered clouds
529,Kathmandu,NP,27.7167,85.3167,46.62,93,20,2.3,few clouds
530,Tadine,NC,-21.55,167.8833,80.53,84,100,5.39,overcast clouds
531,Ust-Tsilma,RU,65.441,52.1498,12.99,96,95,6.02,overcast clouds
532,Samarkand,UZ,39.6542,66.9597,36.82,93,100,4.61,overcast clouds
533,Datong,CN,40.0936,113.2914,21.42,64,100,5.53,light snow
534,Havelock,US,34.8791,-76.9013,71.98,61,100,3.0,overcast clouds
535,Tilichiki,RU,60.4667,166.1,-21.62,92,11,9.01,few clouds
536,Geraldton,AU,-28.7667,114.6,68.41,77,2,10.36,clear sky
537,Sistranda,NO,63.7256,8.834,36.9,74,100,14.43,light rain
538,Preobrazheniye,RU,42.9019,133.9064,14.18,66,1,7.45,clear sky
539,Semnan,IR,35.5729,53.3971,43.92,55,2,1.41,clear sky
540,Tonantins,BR,-2.8731,-67.8022,84.13,77,100,4.65,overcast clouds
541,Mastung,PK,29.7994,66.845,46.02,33,0,2.44,clear sky
542,Huarmey,PE,-10.0681,-78.1522,75.96,71,38,10.76,scattered clouds
543,Necochea,AR,-38.5473,-58.7368,70.03,47,2,10.27,clear sky
544,Canavieiras,BR,-15.675,-38.9472,82.63,64,49,6.46,scattered clouds
545,Valparaiso,CL,-33.0393,-71.6273,71.83,63,0,14.97,clear sky
546,Basco,PH,20.4487,121.9702,76.66,73,9,16.08,clear sky
547,Khasan,RU,42.4308,130.6434,21.22,49,100,8.81,overcast clouds
548,Huilong,CN,31.8111,121.655,47.03,93,100,12.97,overcast clouds
549,Snasa,NO,64.2457,12.3778,21.58,93,100,4.61,light snow
550,Lively,CA,46.4334,-81.1498,0.37,63,73,7.29,broken clouds
551,Blagoveshchensk,RU,50.2667,127.5333,1.54,93,100,10.67,overcast clouds
552,Japura,ID,-0.3167,102.35,72.79,96,93,1.77,overcast clouds
553,Yumen,CN,40.2833,97.2,24.35,51,100,7.18,overcast clouds
554,Lethem,GY,3.3803,-59.7968,95.7,34,74,12.03,broken clouds
