City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Ambon,ID,75.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
430,Watsa,CD,73.67,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
432,Dori,BF,79.95,clear sky,14.0354,-0.0345,Hôtel Liptako
433,Manokwari,ID,77.67,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
437,Bibiani,GH,77.34,broken clouds,6.4635,-2.3194,Rodick Hotel
438,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
440,Buala,SB,78.39,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
443,Conde,BR,85.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
444,Mahanoro,MG,73.74,scattered clouds,-19.9,48.8,BUNGALOW MAHAMANINA
447,Duekoue,CI,79.97,clear sky,6.7472,-7.3496,L'Etoile
452,Ridgecrest,US,74.16,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
453,Salinas,US,81.03,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
454,Masterton,NZ,64.94,light rain,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
457,Florida,US,83.21,clear sky,28.7505,-82.5001,Sportsmens Cove
458,Livingstonia,MW,62.89,light rain,-10.606,34.1063,Stone House Guest House
459,Totness,SR,77.92,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
460,Faanui,PF,81.21,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
461,Fare,PF,81.01,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
462,Selma,US,79.02,few clouds,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
467,Newton,US,61.84,clear sky,42.337,-71.2092,Hotel Indigo Boston - Newton Riverside
468,Hambantota,LK,76.28,overcast clouds,6.1241,81.1185,Bungalow 63
469,Portland,US,62.78,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
471,Carnarvon,AU,82.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
472,Wewak,PG,77.88,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
474,Ballina,AU,66.16,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
475,Belmonte,BR,82.9,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
479,Ahipara,NZ,66.22,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
